Title,Year,Link,Episodes,Aired,Aired_start,Aired_end,AiredOn,Duration,Duration_min,ContentRating,RatingScore,RatingVotes,WatchPlatforms,Format,Genres,Tags,Director,Screenwriter,Ranked,Popularity,Watchers,Has_dubbing_prob,Has_dubbing_pred
Love Is Like a Cat,2024,https://mydramalist.com/730165-love-is-like-a-cat,12,"Apr  1, 2024 - May  6, 2024","Apr  1, 2024","May  6, 2024",Monday,15 min.,15,Not Yet Rated,5.8,3589,Viki,Standard Series,"Comedy, Romance, Drama","LGBTQ+, Famous Man/Common Man, Veterinarian Male Lead, Musician Male Lead, Singer Male Lead, Foreigner Male Lead, Age Gap [Real Life], Gay Male Lead, Gay Supporting Character, Doctor Male Lead, (Vote tags)",Kwon Nam Ki,Kim Mi Suk,12048,1799,3589,0.56,0
The Two Sisters,2024,https://mydramalist.com/761225-in-cold-blood,104,"Jan 22, 2024 - Jun 14, 2024","Jan 22, 2024","Jun 14, 2024","Monday, Tuesday, Wednesday, Thursday, Friday",40 min.,40,15+ - Teens 15 or older,5.9,142,"Apple TV+, Viki",Standard Series,"Romance, Drama, Family, Melodrama","Evil Female Lead, Sibling Rivalry, Double Identity, Sisters' Relationship, Separated Family, Lawyer Male Lead, Soap Opera, Family Relationship, Hatred, Dysfunctional Family, (Vote tags)","Kim Shin Il, Choi Jung Eun","Kim Kyung Hee, Jin Yoo Ri",57339,9344,142,0.88,1
Love Alarm Season 2,2021,https://mydramalist.com/51007-love-alarm-season-2,6,"Mar 12, 2021","Mar 12, 2021",,Friday,57 min.,57,15+ - Teens 15 or older,5.9,35913,Netflix,Standard Series,"Romance, Youth, Drama","Love Triangle, Dating App, Misunderstanding, Eccentric Male Lead, Adapted From A Webtoon, College To Working Life, Rich Male Lead, First Love, Hardworking Female Lead, Sexual Harassment, (Vote tags)","Kim Jin Woo, Park Yoo Young","Cha Yeon Soo, Kim Seo Hee, Kwon Ji Young",12026,214,35913,0.85,1
A Good Supper,2021,https://mydramalist.com/79797-be-a-meal,120,"Jan 11, 2021 - Jul  1, 2021","Jan 11, 2021","Jul  1, 2021","Monday, Tuesday, Wednesday, Thursday, Friday",30 min.,30,15+ - Teens 15 or older,6.3,271,Viki,Standard Series,"Romance, Drama, Family","Nice Male Lead, Friendship, Food, Brother-Sister Relationship, Cooking, Childhood Friends' Relationship, Best Friends' Relationship, Restaurant Setting, Countryside Setting, Death Of A Mother, (Vote tags)",Baek Ho Min,Ha Chung Ok,11847,8981,271,0.32,0
Woo Ri the Virgin,2022,https://mydramalist.com/39219-jane-the-virgin,14,"May  9, 2022 - Jun 21, 2022","May  9, 2022","Jun 21, 2022","Monday, Tuesday",1 hr. 10 min.,70,15+ - Teens 15 or older,6.3,7032,"Hulu, Viki",Standard Series,"Comedy, Romance, Drama, Melodrama","Pregnancy, Independent Female Lead, Grandma-Granddaughter Relationship, Unexpected Pregnancy, Mother-Daughter Relationship, Rich Male Lead, Screenwriter Female Lead, Father-Daughter Relationship, Love Triangle, Catholicism, (Vote tags)",,Jang Ah Mi,11802,1172,7032,0.47,0
Sponsor,2022,https://mydramalist.com/697397-desire,12,"Feb 23, 2022 - Apr  6, 2022","Feb 23, 2022","Apr  6, 2022","Wednesday, Thursday",56 min.,56,15+ - Teens 15 or older,6.3,387,Viki,Standard Series,"Thriller, Romance, Drama","Suspense, Editor Male Lead, Actress Female Lead, Poverty, Hardworking Male Lead, Hardworking Female Lead, Greed, Modeling, Photography, Social Issues, (Vote tags)",Kwak Gi Won,Park Gye Hyung,11899,5173,387,0.42,0
Snow White's Revenge,2024,https://mydramalist.com/769001-scandal,102,"Jun 17, 2024 - Nov 29, 2024","Jun 17, 2024","Nov 29, 2024","Monday, Tuesday, Wednesday, Thursday, Friday",40 min.,40,15+ - Teens 15 or older,6.4,228,Viki,Standard Series,"Thriller, Mystery, Romance, Melodrama","Raised By An Uncle/Aunt, Aspiring Actor Male Lead, Supportive Sibling, Broadcasting Industry, Starting Over, Assistant Manager Supporting Character, Co-workers' Relationship, Best Friends' Relationship, Cousins' Relationship, Senior-Junior Relationship, (Vote tags)",Choi Ji Yeong,Hwang Soon Young,11796,7677,228,0.53,0
Goodbye Earth,2024,https://mydramalist.com/712459-the-fool-of-the-end,12,"Apr 26, 2024","Apr 26, 2024",,Friday,59 min.,59,15+ - Teens 15 or older,6.4,2742,Netflix,Standard Series,"Thriller, Psychological, Drama, Sci-Fi","Former Teacher Female Lead, Protective Female Lead, Volunteer Female Lead, Commander Female Lead, Priest Male Lead, Researcher Male Lead, Doomsday, Asteroid, Protective Male Lead, Return From Abroad, (Vote tags)",Kim Jin Min,Jung Sung Joo,11746,1841,2742,1,1
Bad Girlfriend,2022,https://mydramalist.com/730995-bad-girlfriend,12,"Jul  5, 2022 - Aug 11, 2022","Jul  5, 2022","Aug 11, 2022","Tuesday, Thursday",15 min.,15,15+ - Teens 15 or older,6.4,1723,Viki,Standard Series,"Romance, Drama","Infidelity, Workplace Romance, Boss-Employee Relationship, Web Series, Older Woman/Younger Man, Team Leader Male Lead, Short Length Series, Long Time Friends, Love Triangle, Workplace Setting, (Vote tags)",Lee Si Young,Park Jeong Yun,11755,3528,1723,0.42,0
Goedam,2020,https://mydramalist.com/66691-goedam,8,"Aug 20, 2020","Aug 20, 2020",,Thursday,10 min.,10,18+ Restricted (violence & profanity),6.4,4857,Netflix,Standard Series,"Thriller, Horror, Psychological, Supernatural","Anthology, Ghost, Violence Against Children, School Setting, Graphic Violence, Short Length Series, Dark Fantasy, CGI, Supernatural Being, Spirit Possession, (Vote tags)",Hong Won Gi,,11702,2385,4857,0.73,1
You I Didn't Know,2020,https://mydramalist.com/683331-weekly-bamboo-2,3,"Aug 12, 2020 - Sep  2, 2020","Aug 12, 2020","Sep  2, 2020",,8 min.,8,Not Yet Rated,6.4,96,Viki,Standard Series,"Comedy, Romance, Youth","Lesbian Romance, LGBTQ+, Lesbian Female Lead, Short Length Series, Anthology, Miniseries, Web Series, (Vote tags)",Ha Han Me,,55593,16574,96,0.28,0
Phoenix 2020,2020,https://mydramalist.com/63425-phoenix,120,"Oct 26, 2020 - Apr  9, 2021","Oct 26, 2020","Apr  9, 2021","Monday, Tuesday, Wednesday, Thursday, Friday",30 min.,30,15+ - Teens 15 or older,6.5,199,Viki,Standard Series,"Business, Romance, Drama, Melodrama","Disapproving Parent, Time Skip, Family Pressure, Rags To Riches, First Love, Pregnancy, Love Triangle, Human Rights Violation, White-Collar Crime, Crime Against A Person, (Vote tags)","Lee Hyun Jik, Kim Jae Hong",Lee Yoo Jin,54991,8285,199,0.25,0
Case Cell Division,2021,https://mydramalist.com/688531-case-cell-division,3,"Feb 10, 2021","Feb 10, 2021",,Wednesday,60 min.,60,15+ - Teens 15 or older,6.5,12,Apple TV+,Standard Series,"Business, Comedy, Romance","Miniseries, (Vote tags)",,,54840,18950,12,0.6,1
The Brave Yong Su Jeong,2024,https://mydramalist.com/763739-the-brave-yong-soo-jung,124,"May  6, 2024 - Nov 15, 2024","May  6, 2024","Nov 15, 2024","Monday, Tuesday, Wednesday, Thursday, Friday",35 min.,35,15+ - Teens 15 or older,6.6,315,Viki,Standard Series,"Romance, Drama, Melodrama","Guest House Setting, Adoptive Father-Adoptive Daughter Relationship, Death Of A Mother, Chairman/Chairwoman Supporting Character, Heir Male Lead, Greedy Female Lead, Half-brothers' Relationship, Brothers' Relationship, Honest Female Lead, Mother-in-law - Daughter-in-law Relationship, (Vote tags)","Lee Min Soo, Kim Mi Sook",Choi Yeon Geol,11360,7151,315,0.53,0
Red Shoes,2021,https://mydramalist.com/698837-without-blood-or-tears,100,"Jul  5, 2021 - Dec 10, 2021","Jul  5, 2021","Dec 10, 2021","Monday, Tuesday, Wednesday, Thursday, Friday",35 min.,35,15+ - Teens 15 or older,6.6,287,"Amazon Prime Video, Viki",Standard Series,"Romance, Drama, Family, Melodrama","Soap Opera, Revenge, Greed, Rich Man/Poor Woman, Selfish Parent, Antihero Male Lead, Female Centered Plot, Death Of A Mother, Death Of A Father, Neurological Disorder, (Vote tags)",Park Ki Hyun,Hwang Soon Young,11355,9096,287,0.57,0
