Title,Year,Link,Episodes,Aired,Aired_start,Aired_end,AiredOn,OriginalNetwork,Duration,Duration_min,ContentRating,RatingScore,RatingVotes,WatchPlatforms,Format,Genres,Tags,Director,Screenwriter,Ranked,Popularity,Watchers,Has_dubbing_prob,Has_dubbing_pred
Flower of Evil,2020,https://mydramalist.com/54625-flower-of-evil,16,"Jul 29, 2020 - Sep 23, 2020","Jul 29, 2020","Sep 23, 2020","Wednesday, Thursday",,1 hr. 10 min.,70,15+ - Teens 15 or older,9.1,84120,"Amazon Prime Video, Apple TV+, Hulu, Netflix, Viki, WeTV, iQIYI",Standard Series,"Thriller, Romance, Crime, Melodrama","Detective Female Lead, Psychological, Family Secret, Mystery, Suspense, Hidden Personality, Antisocial Personality Disorder, Investigation, Detective Fiction, Murder, (Vote tags)","Kim Chul Gyu, Yoon Jong Ho",Yoo Jeong Hui,44,17,84120,1,1
Hospital Playlist,2020,https://mydramalist.com/36269-doctor-playbook,12,"Mar 12, 2020 - May 28, 2020","Mar 12, 2020","May 28, 2020",Thursday,,1 hr. 30 min.,90,15+ - Teens 15 or older,9,61585,Netflix,Standard Series,"Comedy, Life, Drama, Medical","Friendship, Multiple Mains, Slow Romance, Multiple Couples, Healing, Bromance, Slight Romance, Smart Female Lead, Nice Male Lead, Music, (Vote tags)",Shin Won Ho,"Lee Woo Jung, Kim Song Hee",53,40,61585,0.88,1
Mr. Queen,2020,https://mydramalist.com/58365-queen-cheorin,20,"Dec 12, 2020 - Feb 14, 2021","Dec 12, 2020","Feb 14, 2021","Saturday, Sunday",,1 hr. 15 min.,75,15+ - Teens 15 or older,8.9,65755,"Amazon Prime Video, Hulu, Netflix, Viki",Standard Series,"Historical, Comedy, Romance, Fantasy","Transmigration, Sassy Female Lead, Eccentric Female Lead, Joseon Dynasty, Calm Male Lead, Time Travel, Palace Setting, Marriage Of Convenience, Gender Swap, Smart Male Lead, (Vote tags)",Yoon Sung Shik,"Park Gye Ok, Choi Ah Il",78,64,65755,1,1
It's Okay to Not Be Okay,2020,https://mydramalist.com/49865-psycho-but-it-s-okay,16,"Jun 20, 2020 - Aug  9, 2020","Jun 20, 2020","Aug  9, 2020","Saturday, Sunday",,1 hr. 15 min.,75,15+ - Teens 15 or older,8.9,145075,Netflix,Standard Series,"Psychological, Comedy, Romance, Drama","Independent Female Lead, Possessive Female Lead, Successful Female Lead, Healing, Melodrama, Selfless Male Lead, Badass Female Lead, Childhood Connection, Trauma, Mental Illness, (Vote tags)","Park Shin Woo, Jung Dong Yoon",Jo Yong,119,3,145075,0.88,1
Kingdom Season 2,2020,https://mydramalist.com/32220-kingdom-2,6,"Mar 13, 2020","Mar 13, 2020",,Friday,,45 min.,45,18+ Restricted (violence & profanity),8.9,34189,Netflix,Standard Series,"Thriller, Historical, Horror, Supernatural","Zombies, Corruption, Gore, Power Struggle, Joseon Dynasty, Smart Female Lead, Death, Pre-Produced, Political, Insects, (Vote tags)","Kim Sung Hoon, Park In Je",Kim Eun Hee,125,270,34189,0.83,1
The Uncanny Counter,2020,https://mydramalist.com/62085-a-wonderful-rumor,16,"Nov 28, 2020 - Jan 24, 2021","Nov 28, 2020","Jan 24, 2021","Saturday, Sunday",,1 hr. 10 min.,70,15+ - Teens 15 or older,8.8,69040,Netflix,Standard Series,"Action, Mystery, Drama, Supernatural","Found Family, Righteous Male Lead, Evil Spirit, Teamwork, Orphan Male Lead, Multiple Mains, Spirit, Nice Male Lead, Hidden Identity, School Bullying, (Vote tags)",Park Bong Sub,"Kim Sae Bom, Yeo Ji Na",165,59,69040,0.88,1
Dr. Romantic Season 2,2020,https://mydramalist.com/38301-romantic-doctor-teacher-kim-2,16,"Jan  6, 2020 - Feb 25, 2020","Jan  6, 2020","Feb 25, 2020","Monday, Tuesday",,1 hr. 10 min.,70,15+ - Teens 15 or older,8.7,37678,"Apple TV+, Netflix, Viki, WeTV",Standard Series,"Romance, Drama, Medical, Melodrama","Slow Burn Romance, Healing, Character Development, Surgeon Male Lead, Friends To Lovers, Love/Hate Relationship, Hardworking Female Lead, Hospital Setting, Rich Woman/Poor Man, Smart Female Lead, (Vote tags)","Yoo In Shik, Lee Gil Bok",Kang Eun Kyung,205,186,37678,1,1
Sweet Home,2020,https://mydramalist.com/34064-sweet-home,10,"Dec 18, 2020","Dec 18, 2020",,Friday,,52 min.,52,18+ Restricted (violence & profanity),8.7,84185,Netflix,Standard Series,"Action, Horror, Drama, Sci-Fi","Monster, Survival, Character Development, Gore, Supernatural Phenomena, Trauma, Adapted From A Webtoon, Paranormal, Death, Nice Male Lead, (Vote tags)","Lee Eung Bok, Jang Young Woo","Kim Hyung Min, Park So Jeong",259,42,84185,0.88,1
The Penthouse: War in Life,2020,https://mydramalist.com/53535-penthouse,21,"Oct 26, 2020 - Jan  5, 2021","Oct 26, 2020","Jan  5, 2021","Monday, Tuesday",,1 hr. 25 min.,85,15+ - Teens 15 or older,8.7,37839,"Amazon Prime Video, Apple TV+, Netflix, Viki, WeTV, iQIYI",Standard Series,"Thriller, Mystery, Drama","School Bullying, Revenge, Motherhood, School Rivalry, Multiple Couples, Rich Male Lead, Mother-Daughter Relationship, Female Rivalry, Rich Female Lead, Rivalry, (Vote tags)",Joo Dong Min,Kim Soon Ok,286,157,37839,1,1
Missing: The Other Side,2020,https://mydramalist.com/53101-missing,12,"Aug 29, 2020 - Oct 11, 2020","Aug 29, 2020","Oct 11, 2020","Saturday, Sunday",,1 hr. 10 min.,70,15+ - Teens 15 or older,8.6,11943,"Netflix, Viki, iQIYI",Standard Series,"Thriller, Mystery, Supernatural","Ghost-seeing Male Lead, Spirit, Bromance, Righteous Male Lead, Death, Ghost, Teamwork, Smart Female Lead, Afterlife, Orphan Male Lead, (Vote tags)",Min Yeon Hong,"Ban Ki Ri, Jung So Young",345,739,11943,0.93,1
